Date;Euro
31/12/2017 23:00:00;€ € 14,04
31/12/2017 22:00:00;€ € 18,94
31/12/2017 21:00:00;€ € 17,85
31/12/2017 20:00:00;€ € 19,69
31/12/2017 19:00:00;€ € 22,00
31/12/2017 18:00:00;€ € 28,11
31/12/2017 17:00:00;€ € 24,97
31/12/2017 16:00:00;€ € 20,25
31/12/2017 15:00:00;€ € 18,67
31/12/2017 14:00:00;€ € 18,63
31/12/2017 13:00:00;€ € 23,78
31/12/2017 12:00:00;€ € 22,14
31/12/2017 11:00:00;€ € 21,90
31/12/2017 10:00:00;€ € 20,62
31/12/2017 9:00:00;€ € 18,45
31/12/2017 8:00:00;€ € 12,94
31/12/2017 7:00:00;€ € 4,99
31/12/2017 6:00:00;€ € 6,44
31/12/2017 5:00:00;€ € 4,77
31/12/2017 4:00:00;€ € 5,51
31/12/2017 3:00:00;€ € 8,90
31/12/2017 2:00:00;€ € 11,37
31/12/2017 1:00:00;€ € 14,04
31/12/2017 0:00:00;€ € 21,27
30/12/2017 23:00:00;€ € 23,49
30/12/2017 22:00:00;€ € 24,34
30/12/2017 21:00:00;€ € 23,31
30/12/2017 20:00:00;€ € 34,80
30/12/2017 19:00:00;€ € 38,20
30/12/2017 18:00:00;€ € 36,08
30/12/2017 17:00:00;€ € 30,00
30/12/2017 16:00:00;€ € 23,38
30/12/2017 15:00:00;€ € 23,41
30/12/2017 14:00:00;€ € 27,12
30/12/2017 13:00:00;€ € 29,61
30/12/2017 12:00:00;€ € 35,00
30/12/2017 11:00:00;€ € 29,39
30/12/2017 10:00:00;€ € 27,82
30/12/2017 9:00:00;€ € 26,54
30/12/2017 8:00:00;€ € 24,88
30/12/2017 7:00:00;€ € 22,55
30/12/2017 6:00:00;€ € 19,87
30/12/2017 5:00:00;€ € 20,29
30/12/2017 4:00:00;€ € 18,48
30/12/2017 3:00:00;€ € 21,12
30/12/2017 2:00:00;€ € 22,55
30/12/2017 1:00:00;€ € 23,37
30/12/2017 0:00:00;€ € 23,10
29/12/2017 23:00:00;€ € 40,66
29/12/2017 22:00:00;€ € 37,99
29/12/2017 21:00:00;€ € 37,59
29/12/2017 20:00:00;€ € 39,27
29/12/2017 19:00:00;€ € 37,45
29/12/2017 18:00:00;€ € 47,50
29/12/2017 17:00:00;€ € 51,51
29/12/2017 16:00:00;€ € 41,87
29/12/2017 15:00:00;€ € 39,90
29/12/2017 14:00:00;€ € 47,05
29/12/2017 13:00:00;€ € 48,95
29/12/2017 12:00:00;€ € 50,10
29/12/2017 11:00:00;€ € 51,51
29/12/2017 10:00:00;€ € 52,13
29/12/2017 9:00:00;€ € 50,73
29/12/2017 8:00:00;€ € 47,57
29/12/2017 7:00:00;€ € 41,55
29/12/2017 6:00:00;€ € 46,05
29/12/2017 5:00:00;€ € 31,27
29/12/2017 4:00:00;€ € 39,57
29/12/2017 3:00:00;€ € 44,76
29/12/2017 2:00:00;€ € 43,77
29/12/2017 1:00:00;€ € 35,77
29/12/2017 0:00:00;€ € 34,08
28/12/2017 23:00:00;€ € 34,08
28/12/2017 22:00:00;€ € 38,23
28/12/2017 21:00:00;€ € 40,58
28/12/2017 20:00:00;€ € 41,89
28/12/2017 19:00:00;€ € 45,84
28/12/2017 18:00:00;€ € 59,90
28/12/2017 17:00:00;€ € 58,63
28/12/2017 16:00:00;€ € 52,25
28/12/2017 15:00:00;€ € 45,00
28/12/2017 14:00:00;€ € 44,80
28/12/2017 13:00:00;€ € 39,30
28/12/2017 12:00:00;€ € 44,80
28/12/2017 11:00:00;€ € 53,13
28/12/2017 10:00:00;€ € 52,33
28/12/2017 9:00:00;€ € 54,40
28/12/2017 8:00:00;€ € 51,34
28/12/2017 7:00:00;€ € 44,00
28/12/2017 6:00:00;€ € 35,00
28/12/2017 5:00:00;€ € 29,86
28/12/2017 4:00:00;€ € 26,33
28/12/2017 3:00:00;€ € 26,00
28/12/2017 2:00:00;€ € 28,10
28/12/2017 1:00:00;€ € 30,00
28/12/2017 0:00:00;€ € 31,16
27/12/2017 23:00:00;€ € 36,90
27/12/2017 22:00:00;€ € 42,24
27/12/2017 21:00:00;€ € 40,00
27/12/2017 20:00:00;€ € 42,40
27/12/2017 19:00:00;€ € 55,88
27/12/2017 18:00:00;€ € 57,57
27/12/2017 17:00:00;€ € 56,09
27/12/2017 16:00:00;€ € 50,90
27/12/2017 15:00:00;€ € 46,48
27/12/2017 14:00:00;€ € 46,40
27/12/2017 13:00:00;€ € 52,90
27/12/2017 12:00:00;€ € 49,19
27/12/2017 11:00:00;€ € 52,10
27/12/2017 10:00:00;€ € 56,93
27/12/2017 9:00:00;€ € 46,19
27/12/2017 8:00:00;€ € 47,02
27/12/2017 7:00:00;€ € 39,40
27/12/2017 6:00:00;€ € 20,03
27/12/2017 5:00:00;€ € 13,29
27/12/2017 4:00:00;€ € 12,74
27/12/2017 3:00:00;€ € 13,48
27/12/2017 2:00:00;€ € 13,93
27/12/2017 1:00:00;€ € 22,98
27/12/2017 0:00:00;€ € 29,27
26/12/2017 23:00:00;€ € 46,38
26/12/2017 22:00:00;€ € 54,50
26/12/2017 21:00:00;€ € 35,18
26/12/2017 20:00:00;€ € 47,95
26/12/2017 19:00:00;€ € 61,20
26/12/2017 18:00:00;€ € 77,11
26/12/2017 17:00:00;€ € 66,79
26/12/2017 16:00:00;€ € 53,06
26/12/2017 15:00:00;€ € 60,35
26/12/2017 14:00:00;€ € 61,20
26/12/2017 13:00:00;€ € 45,88
26/12/2017 12:00:00;€ € 48,64
26/12/2017 11:00:00;€ € 61,20
26/12/2017 10:00:00;€ € 61,20
26/12/2017 9:00:00;€ € 40,60
26/12/2017 8:00:00;€ € 34,90
26/12/2017 7:00:00;€ € 19,93
26/12/2017 6:00:00;€ € 18,93
26/12/2017 5:00:00;€ € 7,35
26/12/2017 4:00:00;€ € 4,61
26/12/2017 3:00:00;€ € 7,26
26/12/2017 2:00:00;€ € 13,32
26/12/2017 1:00:00;€ € 12,42
26/12/2017 0:00:00;€ € 16,30
25/12/2017 23:00:00;€ € 26,60
25/12/2017 22:00:00;€ € 29,10
25/12/2017 21:00:00;€ € 30,46
25/12/2017 20:00:00;€ € 36,84
25/12/2017 19:00:00;€ € 39,90
25/12/2017 18:00:00;€ € 45,97
25/12/2017 17:00:00;€ € 40,08
25/12/2017 16:00:00;€ € 26,76
25/12/2017 15:00:00;€ € 24,62
25/12/2017 14:00:00;€ € 24,06
25/12/2017 13:00:00;€ € 28,25
25/12/2017 12:00:00;€ € 36,32
25/12/2017 11:00:00;€ € 30,01
25/12/2017 10:00:00;€ € 27,86
25/12/2017 9:00:00;€ € 27,28
25/12/2017 8:00:00;€ € 17,09
