Datum;Tijd;Gemeenschappelijk verbruik in kW;Productie in kW;;;;;;
01.01.2017;0:00:00;10.71500026;0;;;;;;
01.01.2017;0:15:00;10.45;0;;;;;;
01.01.2017;0:30:00;10.68500005;0;;;;;;
01.01.2017;0:45:00;9.764999948;0;;;;;;
01.01.2017;1:00:00;9.505000026;0;;;;;;
01.01.2017;1:15:00;9.372500208;0;;;;;;
01.01.2017;1:30:00;9.410000052;0;;;;;;
01.01.2017;1:45:00;9.410000052;0;;;;;;
01.01.2017;2:00:00;9.377500104;0;;;;;;
01.01.2017;2:15:00;9.112500156;0;;;;;;
01.01.2017;2:30:00;9.377500104;0;;;;;;
01.01.2017;2:45:00;9.144999974;0;;;;;;
01.01.2017;3:00:00;9.412500156;0;;;;;;
01.01.2017;3:15:00;9.315000104;0;;;;;;
01.01.2017;3:30:00;9.012500156;0;;;;;;
01.01.2017;3:45:00;9.542500182;0;;;;;;
01.01.2017;4:00:00;9.140000104;0;;;;;;
01.01.2017;4:15:00;9.147500052;0;;;;;;
01.01.2017;4:30:00;9.505000026;0;;;;;;
01.01.2017;4:45:00;9.50750013;0;;;;;;
01.01.2017;5:00:00;9.312500156;0;;;;;;
01.01.2017;5:15:00;9.380000026;0;;;;;;
01.01.2017;5:30:00;9.380000026;0;;;;;;
01.01.2017;5:45:00;9.347500052;0;;;;;;
01.01.2017;6:00:00;9.315000104;0;;;;;;
01.01.2017;6:15:00;9.48250013;0;;;;;;
01.01.2017;6:30:00;9.744999974;0;;;;;;
01.01.2017;6:45:00;11.97000013;0;;;;;;
01.01.2017;7:00:00;11.70500003;0;;;;;;
01.01.2017;7:15:00;11.97000013;0;;;;;;
01.01.2017;7:30:00;11.50250026;0;;;;;;
01.01.2017;7:45:00;12.81500026;0;;;;;;
01.01.2017;8:00:00;12.77750026;0;;;;;;
01.01.2017;8:15:00;13.38000018;0;;;;;;
01.01.2017;8:30:00;12.82750026;0;;;;;;
01.01.2017;8:45:00;13.87000013;0.225225;;;;;;
01.01.2017;9:00:00;14.83750016;0.6006;;;;;;
01.01.2017;9:15:00;15.07000013;1.176175;;;;;;
01.01.2017;9:30:00;13.83250013;1.9019;;;;;;
01.01.2017;9:45:00;13.71000005;2.615613;;;;;;
01.01.2017;10:00:00;16.33750016;2.765763;;;;;;
01.01.2017;10:15:00;15.14499997;3.128125;;;;;;
01.01.2017;10:30:00;15.64250018;3.690687;;;;;;
01.01.2017;10:45:00;16.8775001;4.3043;;;;;;
01.01.2017;11:00:00;17.1125;3.65365;;;;;;
01.01.2017;11:15:00;16.98250013;4.029025;;;;;;
01.01.2017;11:30:00;16.21000005;5.443438;;;;;;
01.01.2017;11:45:00;16.3625;6.631625;;;;;;
01.01.2017;12:00:00;17.68500005;3.740737;;;;;;
01.01.2017;12:15:00;16.79000026;2.840838;;;;;;
01.01.2017;12:30:00;16.34500013;4.25425;;;;;;
01.01.2017;12:45:00;15.65250026;5.943938;;;;;;
01.01.2017;13:00:00;16.2625;7.520513;;;;;;
01.01.2017;13:15:00;16.13250013;7.95795;;;;;;
